timestamp,value,metric_name,container,instance,job,namespace,pod,reason,uid
2025-06-25 08:27:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-n8f9x,ContainerCreating,5675bf4f-2b40-4250-a59a-6c4e4441a42e
2025-06-25 18:27:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-nc2xx,CrashLoopBackOff,c6a3c00a-4153-4473-8eb8-ec1759cc1e9d
2025-06-25 14:17:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-nc8kn,CrashLoopBackOff,ec5ee7ce-7f58-4c47-babd-6336c5e5a233
2025-06-25 14:03:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-ncpcl,CrashLoopBackOff,d69b33b6-46e1-4300-8e7c-bd6ccdd3cc22
2025-06-25 14:14:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-ncpcl,CrashLoopBackOff,d69b33b6-46e1-4300-8e7c-bd6ccdd3cc22
2025-06-26 07:48:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-nghfh,CrashLoopBackOff,8fc4b663-accf-4ab1-9a2e-fca007c73eee
2025-06-26 07:54:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-nghfh,CrashLoopBackOff,8fc4b663-accf-4ab1-9a2e-fca007c73eee
2025-06-25 08:29:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-nlz2p,ContainerCreating,cd6fff44-7f62-448d-813b-74d55a9d0c7d
2025-06-25 12:43:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-pplbg,CrashLoopBackOff,6325b8e4-c30c-402e-a018-069c5a90e50f
2025-06-25 07:34:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-qb29k,CrashLoopBackOff,8b9d6e36-68c9-4dd4-b23e-e01bc841e2cb
2025-06-25 07:37:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-qb29k,CrashLoopBackOff,8b9d6e36-68c9-4dd4-b23e-e01bc841e2cb
2025-06-25 08:27:54,1,kube_pod_container_status_waiting_reason,consumer,10.244.1.5:8080,prometheus.scrape.annotated_pods,nimbusguard,consumer-6767f6cdbf-qckqb,ContainerCreating,dda93039-4412-4697-a3cf-d9a32ab04a41
