timestamp,value,metric_name,horizontalpodautoscaler,instance,job,metric_target_type,namespace
2025-07-12 05:45:28,90466596.571,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:46:28,116790476.8,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:47:28,131112960.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:48:28,92749824.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:49:28,199362969.6,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:50:28,206726290.285,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:51:28,119170048.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:52:28,120267067.076,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:53:28,122495606.153,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:54:28,153214634.666,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:55:28,146828939.636,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:56:28,101735862.857,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:57:28,130564778.666,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:58:28,126205952.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:59:28,129278324.363,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 06:00:28,108646400.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 06:01:28,116620288.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 06:02:28,136944025.6,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 06:03:28,119918592.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 06:04:28,104968192.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 06:05:28,137852928.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 06:06:28,111762090.666,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 06:07:28,66625536.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 06:08:28,66629632.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 06:09:28,66629632.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 06:10:28,66629632.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 06:11:28,66629632.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 06:12:28,66625536.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 06:13:28,66629632.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,average,nimbusguard
2025-07-12 05:30:28,9.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:31:28,8.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:32:28,26.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:33:28,54.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:34:28,30.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:35:28,27.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:36:28,22.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:37:28,26.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:38:28,26.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:39:28,26.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:40:28,26.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:41:28,26.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:42:28,27.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:43:28,11.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:44:28,33.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:45:28,16.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:46:28,21.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:47:28,24.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:48:28,17.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:49:28,37.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:50:28,38.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:51:28,22.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:52:28,22.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:53:28,22.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:54:28,28.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
2025-07-12 05:55:28,27.0,memory,consumer-hpa-baseline,10.244.1.4:8080,prometheus.scrape.annotated_pods,utilization,nimbusguard
