timestamp,value,metric_name,component_id,component_path,instance,job,otel_scope_name,otel_scope_version,rpc_grpc_status_code,rpc_method,rpc_service,rpc_system
2025-07-12 05:55:28,0.490875,rpc_client_duration_milliseconds_sum,otelcol.exporter.otlp.tempo,/,alloy:8080,alloy-metrics,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,0.60.0,14,Export,opentelemetry.proto.collector.trace.v1.TraceService,grpc
2025-07-12 05:56:28,0.490875,rpc_client_duration_milliseconds_sum,otelcol.exporter.otlp.tempo,/,alloy:8080,alloy-metrics,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,0.60.0,14,Export,opentelemetry.proto.collector.trace.v1.TraceService,grpc
2025-07-12 05:57:28,0.490875,rpc_client_duration_milliseconds_sum,otelcol.exporter.otlp.tempo,/,alloy:8080,alloy-metrics,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,0.60.0,14,Export,opentelemetry.proto.collector.trace.v1.TraceService,grpc
2025-07-12 05:58:28,0.490875,rpc_client_duration_milliseconds_sum,otelcol.exporter.otlp.tempo,/,alloy:8080,alloy-metrics,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,0.60.0,14,Export,opentelemetry.proto.collector.trace.v1.TraceService,grpc
2025-07-12 05:59:28,0.490875,rpc_client_duration_milliseconds_sum,otelcol.exporter.otlp.tempo,/,alloy:8080,alloy-metrics,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,0.60.0,14,Export,opentelemetry.proto.collector.trace.v1.TraceService,grpc
2025-07-12 06:00:28,0.490875,rpc_client_duration_milliseconds_sum,otelcol.exporter.otlp.tempo,/,alloy:8080,alloy-metrics,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,0.60.0,14,Export,opentelemetry.proto.collector.trace.v1.TraceService,grpc
2025-07-12 06:01:28,0.490875,rpc_client_duration_milliseconds_sum,otelcol.exporter.otlp.tempo,/,alloy:8080,alloy-metrics,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,0.60.0,14,Export,opentelemetry.proto.collector.trace.v1.TraceService,grpc
2025-07-12 06:02:28,0.490875,rpc_client_duration_milliseconds_sum,otelcol.exporter.otlp.tempo,/,alloy:8080,alloy-metrics,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,0.60.0,14,Export,opentelemetry.proto.collector.trace.v1.TraceService,grpc
2025-07-12 06:03:28,0.490875,rpc_client_duration_milliseconds_sum,otelcol.exporter.otlp.tempo,/,alloy:8080,alloy-metrics,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,0.60.0,14,Export,opentelemetry.proto.collector.trace.v1.TraceService,grpc
2025-07-12 06:04:28,0.490875,rpc_client_duration_milliseconds_sum,otelcol.exporter.otlp.tempo,/,alloy:8080,alloy-metrics,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,0.60.0,14,Export,opentelemetry.proto.collector.trace.v1.TraceService,grpc
2025-07-12 06:05:28,0.490875,rpc_client_duration_milliseconds_sum,otelcol.exporter.otlp.tempo,/,alloy:8080,alloy-metrics,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,0.60.0,14,Export,opentelemetry.proto.collector.trace.v1.TraceService,grpc
2025-07-12 06:06:28,0.490875,rpc_client_duration_milliseconds_sum,otelcol.exporter.otlp.tempo,/,alloy:8080,alloy-metrics,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,0.60.0,14,Export,opentelemetry.proto.collector.trace.v1.TraceService,grpc
2025-07-12 06:07:28,0.490875,rpc_client_duration_milliseconds_sum,otelcol.exporter.otlp.tempo,/,alloy:8080,alloy-metrics,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,0.60.0,14,Export,opentelemetry.proto.collector.trace.v1.TraceService,grpc
2025-07-12 06:08:28,0.490875,rpc_client_duration_milliseconds_sum,otelcol.exporter.otlp.tempo,/,alloy:8080,alloy-metrics,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,0.60.0,14,Export,opentelemetry.proto.collector.trace.v1.TraceService,grpc
2025-07-12 06:09:28,0.490875,rpc_client_duration_milliseconds_sum,otelcol.exporter.otlp.tempo,/,alloy:8080,alloy-metrics,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,0.60.0,14,Export,opentelemetry.proto.collector.trace.v1.TraceService,grpc
2025-07-12 06:10:28,0.490875,rpc_client_duration_milliseconds_sum,otelcol.exporter.otlp.tempo,/,alloy:8080,alloy-metrics,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,0.60.0,14,Export,opentelemetry.proto.collector.trace.v1.TraceService,grpc
2025-07-12 06:11:28,0.490875,rpc_client_duration_milliseconds_sum,otelcol.exporter.otlp.tempo,/,alloy:8080,alloy-metrics,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,0.60.0,14,Export,opentelemetry.proto.collector.trace.v1.TraceService,grpc
2025-07-12 06:12:28,0.490875,rpc_client_duration_milliseconds_sum,otelcol.exporter.otlp.tempo,/,alloy:8080,alloy-metrics,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,0.60.0,14,Export,opentelemetry.proto.collector.trace.v1.TraceService,grpc
2025-07-12 06:13:28,0.490875,rpc_client_duration_milliseconds_sum,otelcol.exporter.otlp.tempo,/,alloy:8080,alloy-metrics,go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,0.60.0,14,Export,opentelemetry.proto.collector.trace.v1.TraceService,grpc
