timestamp,value,metric_name,instance,job,namespace,replicaset
2025-07-12 05:47:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:48:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:49:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:50:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:51:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:52:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:53:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:54:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:55:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:56:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:57:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:58:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 05:59:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
2025-07-12 06:00:28,1,kube_replicaset_status_fully_labeled_replicas,10.244.1.4:8080,prometheus.scrape.annotated_pods,nimbusguard,alloy-55f4f7d8d8
