timestamp,value,metric_name,instance,job,namespace,owner_is_controller,owner_kind,owner_name,replicaset
2025-07-12 05:41:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:42:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:43:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:44:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:45:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:46:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:47:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:48:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:49:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:50:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:51:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:52:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:53:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:54:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
2025-07-12 05:55:28,1,kube_replicaset_owner,10.244.1.4:8080,prometheus.scrape.annotated_pods,local-path-storage,true,Deployment,local-path-provisioner,local-path-provisioner-7dc846544d
