timestamp,value,metric_name,instance,job,namespace,pod,uid
2025-07-05 21:45:05,1751751730,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195862-82rgt,d475a24c-9622-43e0-8e4e-844ebe8a32fb
2025-07-05 21:46:05,1751751730,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195862-82rgt,d475a24c-9622-43e0-8e4e-844ebe8a32fb
2025-07-05 21:47:05,1751751730,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195862-82rgt,d475a24c-9622-43e0-8e4e-844ebe8a32fb
2025-07-05 21:48:05,1751751730,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195862-82rgt,d475a24c-9622-43e0-8e4e-844ebe8a32fb
2025-07-05 21:49:05,1751751730,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195862-82rgt,d475a24c-9622-43e0-8e4e-844ebe8a32fb
2025-07-05 21:44:05,1751751793,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195863-msj94,837e12a2-3162-4957-8d19-df4554fc4b16
2025-07-05 21:45:05,1751751793,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195863-msj94,837e12a2-3162-4957-8d19-df4554fc4b16
2025-07-05 21:46:05,1751751793,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195863-msj94,837e12a2-3162-4957-8d19-df4554fc4b16
2025-07-05 21:47:05,1751751793,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195863-msj94,837e12a2-3162-4957-8d19-df4554fc4b16
2025-07-05 21:48:05,1751751793,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195863-msj94,837e12a2-3162-4957-8d19-df4554fc4b16
2025-07-05 21:49:05,1751751793,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195863-msj94,837e12a2-3162-4957-8d19-df4554fc4b16
2025-07-05 22:02:05,1751751793,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195863-msj94,837e12a2-3162-4957-8d19-df4554fc4b16
2025-07-05 22:03:05,1751751793,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195863-msj94,837e12a2-3162-4957-8d19-df4554fc4b16
2025-07-05 22:04:05,1751751793,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195863-msj94,837e12a2-3162-4957-8d19-df4554fc4b16
2025-07-05 22:05:05,1751751793,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195863-msj94,837e12a2-3162-4957-8d19-df4554fc4b16
2025-07-05 22:06:05,1751751793,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195863-msj94,837e12a2-3162-4957-8d19-df4554fc4b16
2025-07-05 22:02:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 22:03:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 22:04:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 22:05:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 22:06:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 22:18:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 22:19:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 22:20:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 22:21:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 22:22:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 22:34:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 22:35:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 22:36:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 22:37:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 22:38:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 22:49:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 22:50:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
2025-07-05 22:51:05,1751751855,kube_pod_completion_time,kube-state-metrics.nimbusguard.svc:8080,prometheus.scrape.kube_state_metrics,nimbusguard,load-generator-prod-29195864-sdr9m,434c31b2-7d0d-4981-b6f4-e5b3993c11e1
