timestamp,value,metric_name,container,instance,job,namespace,node,pod,resource,uid,unit
2025-07-13 18:01:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 18:02:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 18:03:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 18:04:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 18:05:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 18:06:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 18:07:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 18:08:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 18:09:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 18:10:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 18:11:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 18:12:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 18:13:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 18:14:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 18:15:48,0.5,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,cpu,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,core
2025-07-13 17:32:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:33:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:34:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:35:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:36:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:37:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:38:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:39:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:40:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:41:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:42:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:43:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:44:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:45:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:46:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:47:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:48:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:49:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:50:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:51:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:52:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:53:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:54:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:55:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:56:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:57:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
2025-07-13 17:58:48,1073741824.0,kube_pod_container_resource_limits,adapter,10.244.2.8:8080,prometheus.scrape.annotated_pods,nimbusguard,desktop-worker2,nimbusguard-operator-7795d8d886-lvdh2,memory,f6bf97a7-7332-452a-9c0c-2015e1ff55c7,byte
