timestamp,value,metric_name,instance,job,lease,lease_holder,namespace,owner_kind,owner_name
2025-07-13 18:06:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 18:07:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 18:08:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 18:09:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 18:10:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 18:11:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 18:12:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 18:13:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 18:14:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
2025-07-13 18:15:48,1,kube_lease_owner,10.244.2.8:8080,prometheus.scrape.annotated_pods,apiserver-vpqqjsh2llykgcqohqziw5r7bq,apiserver-vpqqjsh2llykgcqohqziw5r7bq_5b5ae992-7d8f-47e5-bfa2-9d5ac272f21c,kube-system,,
